obs_id,species,stage,character,state,source
,Tridensa sulawensis,adult,Tentilla shape,Loosely coiled,Hissman2005_newrho
,Tridensa sulawensis,adult,Terminal cnidoband lobes,1,Hissman2005_newrho
,Tridensa sulawensis,adult,Tentacle terminal filament,1,Hissman2005_newrho
,Tridensa sulawensis,adult,Tentilla shape,Straight,Hissman2005_newrho
,Tridensa sulawensis,adult,Heteroneme position,Lateral,Hissman2005_newrho
,Tridensa sulawensis,adult,Heteroneme shape,Elongate,Hissman2005_newrho
,Tridensa sulawensis,adult,Gut contents,Fish larvae,Hissman2005_newrho
,Tridensa sulawensis,adult,Fish diet,1,Hissman2005_newrho
,Tridensa sulawensis,adult,Gastrozooid villi,0,Hissman2005_newrho
,Tridensa rotunda,adult,Tentilla,1,Hissman2005_newrho
,Arancialia captonia,adult,Atentaculate gastrozooids,1,Hissman2005_newrho
,Arancialia captonia,adult,Tentilla,1,Hissman2005_newrho
,Arancialia captonia,adult,Tentacle annulation,1,Hissman2005_newrho
,Arancialia captonia,adult,Gastrozooid color,Orange,Hissman2005_newrho
,Arancialia captonia,adult,Terminal cnidoband lobes,1,Hissman2005_newrho
,Arancialia captonia,adult,Heteroneme position,Lateral,Hissman2005_newrho
,Arancialia captonia,adult,Heteroneme shape,Elongate,Hissman2005_newrho
,Archangelopsis jagoa,adult,Atentaculate gastrozooids,1,Hissman2005_newrho
,Archangelopsis jagoa,adult,Variable coiling,1,Hissman2005_newrho
,Arancialia captonia,adult,Variable coiling,1,Hissman2005_newrho
,Archangelopsis jagoa,adult,Terminal sinker,1,Hissman2005_newrho
,Archangelopsis jagoa,adult,Amphipod diet,1,Hissman2005_newrho
,Archangelopsis jagoa,adult,Fish diet,1,Hissman2005_newrho
,Archangelopsis jagoa,adult,Gut contents,Fish larvae,Hissman2005_newrho
,Archangelopsis jagoa,adult,Gut contents,Amphipod,Hissman2005_newrho
,Archangelopsis jagoa,adult,Gut contents,Crustacean,Hissman2005_newrho
,Arancialia captonia,adult,Tentacle ventral ligament,1,Hissman2005_newrho_fig10
,Physophora hydrostatica,adult,Heteroneme type,Microbasic mastigophores,Iwanzoff1896
,Marrus orthocanna,adult,Cnidoband shape,Loosely coiled,Kramp1942
,Hippopodius hippopus,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Vogtia spinosa,adult,Diel vertical migration,0,Mackie1987_Siphbio
,Vogtia glabra,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Vogtia serrata,adult,Diel vertical migration,0,Mackie1987_Siphbio
,Eudoxoides spiralis,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Lensia conoidea,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Kephyes ovata,adult,Diel vertical migration,0,Mackie1987_Siphbio
,Chuniphyes multidentata,adult,Diel vertical migration,0,Mackie1987_Siphbio
,Abylopsis tetragona,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Ceratocymba leuckarti,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Chelophyes appendiculata,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Bassia bassensis,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Ceratocymba sagitatta,eudoxid,Diel vertical migration,1,Mackie1987_Siphbio
,Eudoxoides mitra,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Lensia subtiloides,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Lensia campanella,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Chelophyes contorta,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Diphyes dispar,adult,Diel vertical migration,1,Mackie1987_Siphbio
,Lensia subtilis,adult,Diel vertical migration,Inverted,Mackie1987_Siphbio
,Apolemia ?uvaria,adult,Gut contents,Periphylla sp.,Mackie1987_Siphbio
,Athorybia rosacea,adult,Tentilla lure resemblance,Fish larvae,Mackie1987_Siphbio
,Agalma okeni,adult,Tentilla lure resemblance,Copepods,Mackie1987_Siphbio
,Nanomia ?bijuga,adult,Diel vertical migration,1,Mackie1987_Siphbio
